"URI","Label","Definition","Notation","Status","AcceptedDate","skos:exactMatch"
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/I10_HW","Index, 2010=100 (based on hours worked)","","I10_HW","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/I10_JOB","Index, 2010=100 (based on jobs)","","I10_JOB","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/I10_FTE","Index, 2010=100 (based on full-time equivalents)","","I10_FTE","invalid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PPCH_PRE","Percentage point change on previous period, contribution to GDP growth","","PPCH_PRE","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PPCH_SM","Percentage point change compared to same period in previous year, contribution to GDP growth","","PPCH_SM","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PCH_SM_EUR","Percentage change compared to same period in previous year, euro","","PCH_SM_EUR","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PCH_PRE_PER","Percentage change on previous period (based on persons)","","PCH_PRE_PER","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PCH_PRE_HW","Percentage change on previous period (based on hours worked)","","PCH_PRE_HW","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PCH_SM_PER","Percentage change compared to same period in previous year (based on persons)","","PCH_SM_PER","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PCH_SM_HW","Percentage change compared to same period in previous year (based on hours worked)","","PCH_SM_HW","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PCH_SM_JOB","Percentage change compared to same period in previous year (based on jobs)","","PCH_SM_JOB","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PCH_SM_FTE","Percentage change compared to same period in previous year (based on full-time equivalents)","","PCH_SM_FTE","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/CPI10_PCH_PRE_NAC","Price index, percentage change on previous period, national currency","","CPI10_PCH_PRE_NAC","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/CPI10_PCH_PRE_EUR","Price index, percentage change on previous period, euro","","CPI10_PCH_PRE_EUR","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/CPI05_PCH_PRE_NAC","Price index, percentage change on previous period, national currency","","CPI05_PCH_PRE_NAC","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/CPI05_PCH_PRE_EUR","Price index, percentage change on previous period, euro","","CPI05_PCH_PRE_EUR","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/CPI10_PCH_SM_NAC","Price index, percentage change compared to same period in previous year, national currency","","CPI10_PCH_SM_NAC","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/CPI10_PCH_SM_EUR","Price index, percentage change compared to same period in previous year, euro","","CPI10_PCH_SM_EUR","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/CPI05_PCH_SM_NAC","Price index, percentage change compared to same period in previous year, national currency","","CPI05_PCH_SM_NAC","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/CPI05_PCH_SM_EUR","Price index, percentage change compared to same period in previous year, euro","","CPI05_PCH_SM_EUR","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/RT_UNE","Unemployment rate","","RT_UNE","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/CPI10_NAC","Price index, 2010=100, national currency","","CPI10_NAC","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/CPI10_EUR","Price index, 2010=100, euro","","CPI10_EUR","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/HW","Hours worked","","HW","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/THS_HW","Thousand hours worked","","THS_HW","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/THS_JOB","Thousand jobs","","THS_JOB","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/THS_FTE","Thousand full-time equivalents (FTE)","","THS_FTE","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_EU28_PPS_HW","","","PC_EU28_PPS_HW","invalid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_EU27_PPS_HW","","","PC_EU27_PPS_HW","invalid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/VKM","Vehicle-kilometre (VKM)","","VKM","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/CP_MEUR","Current prices, million euro","","CP_MEUR","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/CP_MNAC","Current prices, million units of national currency","","CP_MNAC","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/CP_MPPS","Current prices, million purchasing power standards","","CP_MPPS","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_EU28_MEUR_CP","Percentage of EU28 total (based on million euro), current prices","","PC_EU28_MEUR_CP","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_EU28_MPPS_CP","Percentage of EU28 total (based on million purchasing power standards), current prices","","PC_EU28_MPPS_CP","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/CLV05_MNAC","Chain linked volumes (2005), million units of national currency","","CLV05_MNAC","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/CLV05_MEUR","Chain linked volumes (2005), million euro","","CLV05_MEUR","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/CLV10_MNAC","Chain linked volumes (2010), million units of national currency","","CLV10_MNAC","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/CLV10_MEUR","Chain linked volumes (2010), million euro","","CLV10_MEUR","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PYP_MNAC","Previous year prices, million units of national currency","","PYP_MNAC","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PYP_MEUR","Previous year prices, million euro","","PYP_MEUR","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/CLV_I05","Chain linked volumes, index 2005=100","","CLV_I05","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/CLV_I10","Chain linked volumes, index 2010=100","","CLV_I10","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/CLV_PCH_PRE","Chain linked volumes, percentage change on previous period","","CLV_PCH_PRE","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/CLV_PCH_SM","Chain linked volumes, percentage change compared to same period in previous year","","CLV_PCH_SM","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/CLV_PCH_ANN","Chain linked volumes, annualized percentage change on previous period","","CLV_PCH_ANN","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/CON_PPCH_PRE","Contribution to GDP growth, percentage point change on previous period","","CON_PPCH_PRE","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/CON_PPCH_SM","Contribution to GDP growth, percentage point change compared to same period in previous year","","CON_PPCH_SM","valid","2014-07-09",
